0,3,4,5,6,24_1,24_2,24_3,24
0,0.48,1.07,1.52,2.04,6.53,6.62,7.32,6.823333333
0,0.68,1.12,1.53,2.26,8.11,7.82,8.34,8.09
0,0.53,0.86,1.3,1.48,4.64,4.96,5.94,5.18
0,0.9,1.49,2.13,3.23,9.66,8.74,11.06,9.82
0,0.85,1.79,2.34,3.23,9.8,9.03,10.07,9.633333333
0,0.51,0.88,1.24,2.11,6.3,6.84,8,7.046666667
0,0.4,0.58,1.14,1.43,5.04,4.64,4.48,4.72
0,0.72,1.28,1.79,2.32,7.9,6.91,9.68,8.163333333
0,0.47,0.94,1.23,1.64,5.44,5.65,6.22,5.77
0,0,0,0,0,0,0,0,0
0,0,0.17,0.43,0.55,2.24,2.39,2.93,2.52
0,0,0,0,0,0,0,0,0
0,0,0.24,0.42,0.27,3.88,3.28,3.71,3.623333333
0,0,0.48,0.57,0.93,4.78,3.4,4.99,4.39
0,0,0.29,0.26,0.46,3.21,2.95,3.75,3.303333333
0,0,0.13,0.19,0.48,2.89,3.07,1.9,2.62
0,0.23,0.4,1.31,2.39,3.24,3.4,2.92,3.186666667
0,0,0,0.47,0.74,1.38,1.45,1.36,1.396666667
0,0.41,0.78,1.18,2.59,4.89,5.23,4.5,4.873333333
0,0,0,0,0,0.45,0.48,0.4,0.443333333
0,0,0,0,0,0,0,0,0
0,0,0,0.4,0.61,0.93,0.89,0.81,0.876666667
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0.39,0.79,1.84,1.16,2.02,1.673333333
0,0,0,0,0,0,0,0,0
0,0,0.24,0.42,0.27,3.88,3.28,3.71,3.623333333
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.99,2.04,2.54,5.57,4.17,5.47,5.07
0,0.49,1.03,2.23,3.15,5.05,3.92,3.52,4.163333333
0,0.44,0.75,1.06,1.8,4.36,4.74,5.54,4.88
