,Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
125,1,0.25,5,0.25,1,0.25,1,0.25,1,0.25,1.0036452
126,1,0.25,5,0.5,1,0.25,1,0.25,1,0.25,0.752126367
127,1,0.25,5,1,1,0.25,1,0.25,1,0.25,0.453219927
128,1,0.25,1,0.25,1,0.1,1,0.25,1,0.25,0.974248927
129,1,0.25,1,0.25,1,0.5,1,0.25,1,0.25,1.334763948
130,1,0.25,1,0.25,1,1,1,0.25,1,0.25,2.274678112
131,1,0.25,1,0.25,2,0.1,1,0.25,1,0.25,0.343347639
132,1,0.25,1,0.25,2,0.25,1,0.25,1,0.25,0.755364807
133,1,0.25,1,0.25,2,0.5,1,0.25,1,0.25,0.510729614
134,1,0.25,1,0.25,2,1,1,0.25,1,0.25,0.626609442
135,1,0.25,1,0.25,3,0.1,1,0.25,1,0.25,2.480686695
136,1,0.25,1,0.25,3,0.25,1,0.25,1,0.25,2.64806867
137,1,0.25,1,0.25,3,0.5,1,0.25,1,0.25,1.527896996
138,1,0.25,1,0.25,3,1,1,0.25,1,0.25,1.115879828
139,1,0.25,1,0.25,4,0.1,1,0.25,1,0.25,2.120171674
140,1,0.25,1,0.25,4,0.25,1,0.25,1,0.25,2.918454936
141,1,0.25,1,0.25,4,0.5,1,0.25,1,0.25,2.442060086
142,1,0.25,1,0.25,4,1,1,0.25,1,0.25,1.939914163
143,1,0.25,1,0.25,5,0.1,1,0.25,1,0.25,0.665236052
144,1,0.25,1,0.25,5,0.25,1,0.25,1,0.25,0.948497854
145,1,0.25,1,0.25,5,0.5,1,0.25,1,0.25,0.948497854
146,1,0.25,1,0.25,5,1,1,0.25,1,0.25,0.896995708
147,1,0.25,1,0.25,1,0.25,1,0.1,1,0.25,0.925045704
148,1,0.25,1,0.25,1,0.25,1,0.5,1,0.25,0.776965265
149,1,0.25,1,0.25,1,0.25,1,1,1,0.25,0.782449726
150,1,0.25,1,0.25,1,0.25,2,0.1,1,0.25,1.149908592
151,1,0.25,1,0.25,1,0.25,2,0.25,1,0.25,0.990859232
152,1,0.25,1,0.25,1,0.25,2,0.5,1,0.25,0.81535649
